CAROUSEL_DIA_INDICATION;Diamant mezi kloubními přípravky
CAROUSEL_DIA_NAME;GS Condro Diamant
CAROUSEL_DIA_DESCRIPTION;Nejsilnější v obsahu krystalického glukosamin sulfátu na trhu (2 122 mg) a s revolučním DIAMANT FORTESCINEM® pro klouby i jejich okolí (aescin pro správné prokrvení kloubního pouzdra, vazů a šlach; vitamin C pro správnou tvorbu kolagenní sítě chrupavek).

CAROUSEL_DOR_INDICATION;Kvalitnější spánek
CAROUSEL_DOR_NAME;GS Dormian Rapid
CAROUSEL_DOR_DESCRIPTION_1;Pro rychlé usínání a nerušený spánek.
CAROUSEL_DOR_DESCRIPTION_2;Účinná kombinace bylinných extraktů kozlíku, meduňky, chmele a mučenky.
CAROUSEL_DOR_DESCRIPTION_3;Šetrná a nenávyková cesta k Vašemu odpočinku.

CAROUSEL_EXS50_INDICATION;Extra vitalita, extra paměť
CAROUSEL_EXS50_NAME;GS Extra Strong Multivitamin 50+
CAROUSEL_EXS50_DESCRIPTION;50+ KOMPLEX – sibiřský ženšen pro povzbuzení organismu a Ginkgo biloba pro správné prokrvení mozku a končetin

CAROUSEL_EXS_INDICATION;Extra silný, extra účinný
CAROUSEL_EXS_NAME;GS Extra Strong Multivitamin
CAROUSEL_EXS_DESCRIPTION;STRONG KOMPLEX – extra dávka vitaminu C, lutein, activin, echinacea.

CAROUSEL_GIN_INDICATION;Paměť, prokrvení
CAROUSEL_GIN_NAME;GS Ginkgo 60 Premium	
CAROUSEL_GIN_DESCRIPTION_1;Extrakty z Ginkgo biloba 60 mg a gotu koly podporují paměť, soustředění a prokrvení. 
CAROUSEL_GIN_DESCRIPTION_2;Koncentrovaný extrakt z plodů hlohu obecného 20 mg podporuje prokrvení mozku i končetin. 
CAROUSEL_GIN_DESCRIPTION_3;Hořčík 150 mg podporuje normální funkce nervové soustavy.

CAROUSEL_HLI_INDICATION;Imunita, dýchací cesty
CAROUSEL_HLI_NAME;GS Hlíva se zázvorem
CAROUSEL_HLI_DESCRIPTION_1;Pro dlouhodobou podporu imunity a celkového zdraví.
CAROUSEL_HLI_DESCRIPTION_2;Jediná hlíva obohacená o mnohonásobné účinky zázvoru, vitamin C.

CAROUSEL_KOE_INDICATION;Srdce, cévy, energie
CAROUSEL_KOE_NAME;GS Koenzym Q10 Premium
CAROUSEL_KOE_DESCRIPTION_1;Silná dávka 60 mg koenzymu Q10 s vysokou vstřebatelností.
CAROUSEL_KOE_DESCRIPTION_2;Navíc hloh pro správnou činnost srdce a biotin pro normální energetický metabolismus.
CAROUSEL_KOE_DESCRIPTION_3;Vhodné při užívání statinů.

CAROUSEL_MER_INDICATION;Sójový lecitin
CAROUSEL_MER_NAME;GS Megalecitin 1325	
CAROUSEL_MER_DESCRIPTION_1;Mega dávka 1325 mg lecitinu ve formě měkkých želatinových kapslí s vysokou vstřebatelností.
CAROUSEL_MER_DESCRIPTION_2;Vyrobeno ze sóji bez genetické modifikace.

CAROUSEL_OME_INDICATION;Srdce, mozek, zrak
CAROUSEL_OME_NAME;GS Omega 3 CITRUS
CAROUSEL_OME_DESCRIPTION_1;3000 mg rybího oleje s vysokým obsahem DHA a EPA v denní dávce. 
CAROUSEL_OME_DESCRIPTION_2;DHA a EPA v přirozené formě triglyceridů – až o 50 %% vyšší vstřebatelnost.
CAROUSEL_OME_DESCRIPTION_3;Kapsle s citronovou příchutí.

CAROUSEL_TRI_INDICATION;Trojí síla pro muže v nejlepším věku
CAROUSEL_TRI_NAME;GS Triomen FORTE	
CAROUSEL_TRI_DESCRIPTION_1;Slivoň africká (Pygeum africanum) 100 mg – pro podporu správné funkce prostaty. 
CAROUSEL_TRI_DESCRIPTION_2;Maca 15 mg – kořen – pro podporu mužské potence.
CAROUSEL_TRI_DESCRIPTION_3;Sibiřský ženšen 10 mg – extrakt z kořene – pro posílení vitality.

CAROUSEL_VHZ_INDICATION;Zdravé kosti, vlasy, nehty
CAROUSEL_VHZ_NAME;GS Vápník, Hořčík, Zinek PREMIUM	
CAROUSEL_VHZ_DESCRIPTION_1;Zesílené složení důležitých minerálů.
CAROUSEL_VHZ_DESCRIPTION_2;Zinek pro zdravé vlasy, nehty, pokožku.
CAROUSEL_VHZ_DESCRIPTION_3;Vápník, hořčík, vit. D3 a K pro zdravé a silné kosti.

CAROUSEL_VIC500_INDICATION;Přírodní síla šípků	
CAROUSEL_VIC500_NAME;GS Vitamin C 500	
CAROUSEL_VIC500_DESCRIPTION_1;Vitamin C výrazně přispívá ke snížení únavy a vyčerpání.
CAROUSEL_VIC500_DESCRIPTION_2;Unikátní tableta TIME-RELEASE zajištující postupné uvolňování.
CAROUSEL_VIC500_DESCRIPTION_3;Navíc obohacen o šípky.